"variable","value","model","Sex","st"
"t0",0.01,"Pooled","F","ALL"
"t0",0.01,"Pooled","M","ALL"
"log_k",0.01,"Pooled","F","ALL"
"log_k",0.01,"Pooled","M","ALL"
"Linf",66.194129030585,"Pooled","F","ALL"
"Linf",59.8098502355793,"Pooled","M","ALL"
"Sigma",8.34366992193846,"Pooled","ALL","ALL"
"t0",0.353004681280669,"3 Zone","F","WC"
"t0",0.73334389909395,"3 Zone","M","WC"
"t0",0.01,"3 Zone","M","BC"
"t0",0.317114348649774,"3 Zone","F","BC"
"t0",0.277008995950721,"3 Zone","F","AK"
"t0",0.01,"3 Zone","M","AK"
"log_k",0.01,"3 Zone","F","WC"
"log_k",0.01,"3 Zone","M","WC"
"log_k",0.01,"3 Zone","M","BC"
"log_k",0.01,"3 Zone","F","BC"
"log_k",0.01,"3 Zone","F","AK"
"log_k",0.01,"3 Zone","M","AK"
"Linf",67.7801781834942,"3 Zone","F","WC"
"Linf",68.6055070169643,"3 Zone","M","WC"
"Linf",58.2201795242754,"3 Zone","M","BC"
"Linf",62.8838579178924,"3 Zone","F","BC"
"Linf",59.7292674138398,"3 Zone","F","AK"
"Linf",53.9532946404323,"3 Zone","M","AK"
"Sigma",7.59986960730747,"3 Zone","ALL","ALL"
"t0",1.20090416517467,"Lit","F","South MTY-CPN"
"t0",1.31419120049923,"Lit","F","North MTY-CPN"
"t0",1.25724050754659,"Lit","M","North MTY-CPN"
"t0",0.01,"Lit","M","South MTY-CPN"
"t0",0.77867250892073,"Lit","M","SOUTH"
"t0",0.01,"Lit","M","NORTH"
"t0",0.214757150184543,"Lit","F","NORTH"
"t0",0.678974354074344,"Lit","F","SOUTH"
"t0",0.01,"Lit","F","Aleutians"
"t0",0.01,"Lit","M","Aleutians"
"t0",0.96032820139421,"Lit","F","Shumagin Slope"
"t0",1.12363851574018,"Lit","M","Shumagin Slope"
"t0",0.943952846431794,"Lit","M","Kodiak slope"
"t0",0.01,"Lit","F","Kodiak slope"
"t0",0.380914431699667,"Lit","M","Chirikof slope"
"t0",0.01,"Lit","F","Southeast"
"t0",0.713802163606439,"Lit","F","Chirikof slope"
"t0",0.186679541782052,"Lit","M","Southeast"
"t0",0.01,"Lit","M","Bering"
"t0",0.01,"Lit","F","Bering"
"log_k",0.01,"Lit","F","South MTY-CPN"
"log_k",0.01,"Lit","F","North MTY-CPN"
"log_k",0.01,"Lit","M","North MTY-CPN"
"log_k",0.01,"Lit","M","South MTY-CPN"
"log_k",0.01,"Lit","M","SOUTH"
"log_k",0.01,"Lit","M","NORTH"
"log_k",0.01,"Lit","F","NORTH"
"log_k",0.01,"Lit","F","SOUTH"
"log_k",0.01,"Lit","F","Aleutians"
"log_k",0.01,"Lit","M","Aleutians"
"log_k",0.01,"Lit","F","Shumagin Slope"
"log_k",0.01,"Lit","M","Shumagin Slope"
"log_k",0.01,"Lit","M","Kodiak slope"
"log_k",0.01,"Lit","F","Kodiak slope"
